"course_id","course_tags"
"12-principles-animation-toon-boom-harmony-1475","2d-animation"
"2d-racing-game-series-unity-5-1312","game-design"
"2d-racing-games-unity-volume-2-1286","game-art"
"2d-racing-games-unity-volume-2-1286","digital-painting"
"2d-racing-games-unity-volume-2-1286","image-editing"
"2d-racing-games-unity-volume-2-1286","art-and-design"
"2d-racing-games-unity-volume-2-1286","graphic-design"
"2d-racing-games-unity-volume-2-1286","creative-pipeline"
"2d-racing-games-unity-volume-4-1311","game-programming"
"2d-racing-games-unity-volume-4-1311","game-design"
"3d-coat-character-concept-sculpting-techniques-2526","3d-modeling"
"3d-coat-character-concept-sculpting-techniques-2526","character-modeling"
"3d-coat-character-concept-sculpting-techniques-2526","3d-sculpting"
"3d-coat-character-concept-sculpting-techniques-2526","character-sculpting"
"3d-coat-getting-started-2487","3d-texturing"
"3d-coat-getting-started-2487","3d-sculpting"
"3d-integration-relighting-nuke-1157","compositing"
"3d-models-presenting-online-2385","3d-modeling"
"3d-pan-tile-sky-nuke-81","compositing"
"3d-printing-design-selective-laser-sintering","3d-printing"
"3d-printing-design-selective-laser-sintering","part-modeling"
"3d-rotation-trackers-trigonometry-nuke-284","compositing"
"3d-rotation-trackers-trigonometry-nuke-284","vfx"
"3ds-max-2011-motion-graphics-585","3d-rigging"
"3ds-max-2011-motion-graphics-585","3d-dynamics"
"3ds-max-2011-motion-graphics-585","3d-animation"
"3ds-max-2011-motion-graphics-585","3d-rendering"
"3ds-max-2011-motion-graphics-585","motion-graphics"
"3ds-max-2011-motion-graphics-585","compositing"
"3ds-max-2011-motion-graphics-585","3d-modeling"
"3ds-max-2017-introduction-2517","3d-modeling"
"3ds-max-2017-introduction-2517","3d-uv-mapping"
"3ds-max-2017-introduction-2517","3d-rigging"
"3ds-max-2017-introduction-2517","3d-rendering"
"3ds-max-2017-introduction-2517","3d-texturing"
"3ds-max-2017-introduction-2517","3d-animation"
"3ds-max-2017-modeling-cartoon-props","3d-modeling"
"3ds-max-2017-modeling-cartoon-props","hard-surface-modeling"
"3ds-max-2018-exploring","3d-rigging"
"3ds-max-2018-exploring","3d-animation"
"3ds-max-2018-exploring","3d-rendering"
"3ds-max-2018-exploring","3d-lighting"
"3ds-max-2018-exploring","3d-modeling"
"3ds-max-2018-fundamentals","3d-modeling"
"3ds-max-2018-fundamentals","3d-uv-mapping"
"3ds-max-2018-fundamentals","3d-lighting"
"3ds-max-2018-fundamentals","3d-animation"
"3ds-max-2018-fundamentals","3d-texturing"
"3ds-max-2018-fundamentals","3d-rendering"
"3ds-max-2018-fundamentals","3d-rigging"
"3ds-max-animation-fundamentals","3d-animation"
"3ds-max-arnold-fundamentals","3d-rendering"
"3ds-max-arnold-fundamentals","3d-lighting"
"3ds-max-converting-photo-vr-set-2468","virtual-reality"
"3ds-max-creating-game-ready-modular-structures","hard-surface-modeling"
"3ds-max-creating-game-ready-modular-structures","game-modeling"
"3ds-max-creating-game-ready-modular-structures","3d-modeling"
"3ds-max-creating-game-ready-modular-structures","game-art"
"3ds-max-creating-game-ready-modular-structures","3d-rendering"
"3ds-max-creating-game-ready-modular-structures","3d-uv-mapping"
"3ds-max-creating-realistic-low-poly-tree-2420","game-modeling"
"3ds-max-creating-realistic-low-poly-tree-2420","3d-texturing"
"3ds-max-creating-realistic-low-poly-tree-2420","3d-modeling"
"3ds-max-graphite-modeling-tools-fundamentals","3d-modeling"
"3ds-max-hard-surface-modeling-fundamentals","3d-modeling"
"3ds-max-hard-surface-modeling-fundamentals","hard-surface-modeling"
"3ds-max-interior-modeling-techniques","3d-modeling"
"3ds-max-interior-modeling-techniques","environment-modeling"
"3ds-max-lighting-fundamentals","3d-rendering"
"3ds-max-lighting-fundamentals","3d-lighting"
"3ds-max-modeling-fundamentals","3d-uv-mapping"
"3ds-max-modeling-fundamentals","3d-modeling"
"3ds-max-modeling-fundamentals","3d-texturing"
"3ds-max-motionbuilder-integration-790","3d-animation"
"3ds-max-motionbuilder-integration-790","character-animation"
"3ds-max-motionbuilder-integration-790","creative-pipeline"
"3ds-max-motionbuilder-integration-790","3d-rigging"
"3ds-max-reference-library-world-space-modifiers-531","3d-animation"
"3ds-max-reference-library-world-space-modifiers-531","3d-texturing"
"3ds-max-reference-library-world-space-modifiers-531","3d-modeling"
"3ds-max-ref-object-space-modifiers-530","3d-animation"
"3ds-max-ref-object-space-modifiers-530","3d-modeling"
"3ds-max-rendering-fundamentals","3d-rendering"
"3ds-max-rendering-fundamentals","3d-lighting"
"3ds-max-topology-fundamentals","3d-modeling"
"3ds-max-uv-mapping-fundamentals","3d-uv-mapping"
"3ds-max-v-ray-creating-photorealistic-scene-2424","3d-rendering"
"3ds-max-v-ray-creating-photorealistic-scene-2424","3d-modeling"
"3ds-max-v-ray-creating-photorealistic-scene-2424","environment-lighting"
