"user_handle","assessment_tag","user_assessment_date","user_assessment_score"
7487,"angular-js","2017-08-11 19:03:38",134
7487,"css","2017-08-11 20:09:56",38
7487,"html5","2017-07-31 18:59:37",84
7487,"java","2017-07-31 18:49:27",149
7487,"javascript","2017-07-31 19:05:03",92
7487,"python","2017-07-31 19:11:04",139
7407,"python","2017-08-31 11:43:15",206
3600,"c-sharp","2017-08-23 18:56:31",83
8152,"java","2017-09-08 14:32:54",219
3637,"game-environment-art","2017-04-17 01:15:47",210
3637,"java","2016-10-17 14:34:31",44
4392,"c-sharp","2017-11-10 14:18:36",202
2244,"c-sharp","2017-02-24 16:06:20",162
2244,"java","2017-02-24 16:15:47",142
5566,"illustrator","2017-07-18 17:34:15",157
8446,"zbrush-core-skills","2017-05-22 10:56:11",147
6038,"java","2017-08-25 13:08:50",61
4919,"docker","2017-08-10 07:26:29",92
4919,"the-scrum-framework","2017-08-10 07:38:17",146
3127,"c-plus-plus","2017-07-14 17:33:47",106
4191,"android","2017-08-30 06:35:52",56
4191,"c-sharp","2017-10-10 05:26:35",112
9839,"html5","2017-11-06 21:38:52",59
2944,"aspnet-mvc-5","2016-11-13 22:30:29",121
2944,"c-sharp","2016-08-29 01:27:55",214
2944,"java","2017-09-29 15:45:46",130
2944,"javascript","2017-10-15 14:58:52",202
2944,"node-js","2017-10-15 14:51:48",154
2944,"react","2017-07-19 02:19:35",211
7244,"powershell","2017-07-03 18:23:09",97
2985,"java","2017-11-18 15:08:42",188
5181,"aspnet-mvc-5","2017-08-06 03:13:19",168
5181,"c-plus-plus","2016-11-12 01:40:52",121
5181,"c-sharp","2017-01-29 07:12:00",231
5181,"docker","2016-09-15 23:05:56",85
5181,"powershell","2016-07-29 01:38:32",107
5181,"python","2016-09-03 16:59:10",205
5181,"the-scrum-framework","2017-07-10 04:16:32",132
718,"angular","2017-10-31 16:08:33",117
1755,"angular-js","2016-08-19 02:20:53",23
1755,"html5","2016-08-19 02:17:23",120
1755,"javascript","2016-08-19 02:08:23",64
2954,"java","2017-04-19 00:41:37",17
9914,"angular-js","2017-04-28 22:21:19",122
3264,"after-effects-cc","2017-10-03 02:04:44",150
9722,"java","2017-07-24 06:58:55",207
4144,"node-js","2017-05-30 14:48:58",24
6097,"c-sharp","2017-11-26 19:26:51",192
6097,"docker","2017-11-26 19:38:53",160
6097,"the-scrum-framework","2017-11-26 19:47:26",178
3791,"c-sharp","2017-09-20 14:25:30",177
3791,"python","2017-09-19 20:29:44",187
3505,"javascript","2017-05-25 13:07:52",142
3505,"node-js","2017-05-25 13:11:43",138
8088,"java","2017-09-23 23:37:42",161
3621,"javascript","2017-04-24 08:42:40",139
572,"graphic-design","2017-08-17 22:22:44",116
572,"photoshop-photo-manipulation","2017-08-17 22:30:26",195
4494,"html5","2017-09-28 07:57:31",20
8448,"aspnet-mvc-5","2017-08-22 13:46:06",121
8448,"c-plus-plus","2017-08-22 13:21:21",66
8448,"c-sharp","2017-08-22 13:37:31",178
3183,"c-plus-plus","2017-06-30 10:13:41",90
3183,"c-sharp","2017-03-14 14:01:33",121
3183,"html5","2017-07-18 14:59:47",123
3183,"java","2016-09-22 13:50:49",202
768,"python","2017-07-22 11:01:41",124
5494,"c-sharp","2017-02-17 21:55:40",192
5494,"javascript","2017-04-07 14:57:13",129
5494,"python","2016-12-15 19:57:40",167
1309,"css","2017-11-08 21:11:27",135
1309,"html5","2017-11-23 19:56:53",126
1309,"javascript","2017-08-14 10:47:04",70
8973,"aspnet-mvc-5","2017-10-12 18:48:07",161
8973,"jquery","2017-10-18 18:05:47",114
840,"docker","2017-10-01 10:53:39",119
840,"html5","2017-05-18 18:31:29",160
840,"java","2017-05-18 15:31:18",94
5932,"active-directory-administration","2017-11-27 15:18:49",252
4238,"angular","2017-10-06 20:53:30",131
4238,"c-sharp","2017-11-04 13:07:43",133
4238,"mysql","2017-10-06 21:00:04",200
4238,"the-scrum-framework","2017-10-06 21:11:53",200
5707,"java","2017-11-24 16:24:55",137
7843,"java","2017-07-26 18:31:20",213
7843,"mysql","2017-07-26 18:50:55",88
3220,"react","2017-05-08 21:00:50",181
3474,"android","2017-09-08 15:14:06",97
3474,"c-sharp","2017-09-15 14:11:00",76
4048,"angular-js","2017-09-11 00:04:46",108
4048,"html5","2017-09-01 19:56:26",137
4048,"node-js","2017-09-01 19:48:33",129
4048,"react","2017-09-02 12:17:31",12
9845,"fusion-360-core-skills","2017-10-06 22:08:14",144
8950,"mysql","2017-08-25 07:44:23",88
8950,"the-scrum-framework","2017-08-25 07:49:39",117
4448,"css","2017-03-10 14:45:07",121
4448,"html5","2017-03-10 14:23:42",144
4448,"javascript","2017-03-10 14:34:43",158
1816,"azure-solutions-architect","2017-10-12 12:05:57",134
3380,"c-plus-plus","2017-04-25 11:54:42",121
3380,"c-sharp","2017-04-25 14:32:47",181
3901,"python","2017-01-11 14:51:44",133
2782,"aspnet-mvc-5","2017-08-21 14:31:15",201
2782,"c-sharp","2017-04-18 11:23:37",179
1768,"css","2016-09-30 11:37:35",198
2740,"java","2016-12-22 14:30:54",159
2740,"mysql","2016-12-22 14:20:44",195
831,"angular-js","2016-09-16 06:57:59",131
831,"c-sharp","2017-07-01 00:21:08",84
831,"powershell","2016-09-17 10:11:45",22
3929,"c-sharp","2016-11-08 16:17:54",30
1512,"c-sharp","2017-09-05 14:44:18",165
3194,"c-sharp","2017-07-24 06:48:47",199
3842,"graphic-design","2017-09-20 19:11:12",111
3842,"illustrator","2017-10-20 15:33:32",179
4574,"c-sharp","2017-11-19 18:09:49",94
4574,"java","2017-11-11 14:54:59",133
4574,"android-associate-developer","2017-11-10 22:28:19",157
9586,"photoshop-photo-manipulation","2017-10-02 17:08:48",105
7528,"c-plus-plus","2017-11-24 18:24:53",94
7528,"python","2017-11-24 16:50:02",123
6529,"node-js","2017-06-09 22:01:17",129
